Unnamed: 0,匯入時間,統計時間,學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,lat,lng
17,20210801,202101,5,國立成功大學,D 日,D 博士,1818,1235,583,254,125,242,118,199,93,170,78,146,70,122,50,102,49,0,0,21 臺南市,1 一般,22.9988416,120.2195148
18,20210801,202101,5,國立成功大學,D 日,M 碩士,7015,4417,2598,1982,1133,1785,1005,476,327,172,130,2,3,0,0,0,0,0,0,21 臺南市,1 一般,22.9988416,120.2195148
19,20210801,202101,5,國立成功大學,D 日,B 學士,11441,7079,4362,1704,1037,1684,1043,1611,988,1556,1011,99,60,58,30,1,0,366,193,21 臺南市,1 一般,22.9988416,120.2195148
20,20210801,202101,5,國立成功大學,N 職,M 碩士,1499,933,566,305,190,289,185,199,106,77,55,62,30,1,0,0,0,0,0,21 臺南市,1 一般,22.9988416,120.2195148
150,20210801,202101,36,國立臺南大學,D 日,D 博士,163,74,89,13,11,12,18,5,15,12,15,7,13,13,8,12,9,0,0,21 臺南市,1 一般,22.9847814,120.2079978
151,20210801,202101,36,國立臺南大學,D 日,M 碩士,915,401,514,151,180,132,138,65,122,50,70,3,3,0,1,0,0,0,0,21 臺南市,1 一般,22.9847814,120.2079978
152,20210801,202101,36,國立臺南大學,D 日,B 學士,3885,1829,2056,457,506,427,494,435,508,426,495,0,0,0,0,0,0,84,53,21 臺南市,1 一般,22.9847814,120.2079978
153,20210801,202101,36,國立臺南大學,N 職,M 碩士,657,212,445,75,152,67,144,35,77,27,49,8,18,0,3,0,2,0,0,21 臺南市,1 一般,22.9847814,120.2079978
154,20210801,202101,36,國立臺南大學,P 進,B 學士,153,87,66,33,25,31,9,19,20,1,8,0,0,0,0,0,0,3,4,21 臺南市,1 一般,22.9847814,120.2079978
236,20210801,202101,221,國立臺南護理專科學校,D 日,2 二專,115,9,106,6,54,3,50,0,0,0,0,0,0,0,0,0,0,0,2,21 臺南市,2 技職,22.9956656,120.207567
237,20210801,202101,221,國立臺南護理專科學校,D 日,5 五專,1801,152,1649,37,337,33,323,30,323,28,325,19,326,0,0,0,0,5,15,21 臺南市,2 技職,22.9956656,120.207567
238,20210801,202101,221,國立臺南護理專科學校,N 修,2 二專,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21 臺南市,2 技職,22.9956656,120.207567
730,20210801,202101,1125,中信金融管理學院,D 日,M 碩士,102,47,55,27,37,13,15,7,3,0,0,0,0,0,0,0,0,0,0,21 臺南市,1 一般,23.0637267,120.1629674
731,20210801,202101,1125,中信金融管理學院,D 日,B 學士,694,392,302,134,96,110,69,88,66,52,68,0,0,0,0,0,0,8,3,21 臺南市,1 一般,23.0637267,120.1629674
732,20210801,202101,1125,中信金融管理學院,N 職,M 碩士,29,21,8,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 臺南市,1 一般,23.0637267,120.1629674
