Unnamed: 0,匯入時間,統計時間,縣市代碼,縣市名稱,學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女,lat,lng
172,20210801,202101,11,臺南市,110302,國立新豐高中,39,51,3,7,5,16,36,507,534,177,187,22.9718627,120.295809
173,20210801,202101,11,臺南市,110308,國立臺南大學附中,49,70,12,5,13,14,48,741,779,238,301,23.0232218,120.2522672
174,20210801,202101,11,臺南市,110311,國立北門高中,30,43,4,3,6,9,30,484,468,128,160,23.1671481,120.1772896
175,20210801,202101,11,臺南市,110312,國立新營高中,34,55,3,2,7,13,33,387,611,134,213,23.3083164,120.3120353
176,20210801,202101,11,臺南市,110314,國立後壁高中,34,50,6,3,10,13,30,335,310,103,103,23.3558294,120.3587437
177,20210801,202101,11,臺南市,110315,國立善化高中,29,45,0,0,9,10,30,490,411,144,115,23.129921,120.300794
178,20210801,202101,11,臺南市,110317,國立新化高中,37,48,1,1,4,14,36,520,679,148,237,23.039008,120.3104284
179,20210801,202101,11,臺南市,110328,國立南科國際實驗高中,34,58,0,6,6,16,15,232,166,56,62,23.1060327,120.2922443
180,20210801,202101,11,臺南市,111313,私立南光高中,35,42,8,7,5,6,23,518,438,183,149,23.2981915,120.3148321
181,20210801,202101,11,臺南市,111318,私立鳳和高中,2,0,0,0,0,0,1,13,20,19,12,23.2796354,120.326017
182,20210801,202101,11,臺南市,111320,私立港明高中,75,46,5,11,2,12,37,928,666,337,205,23.1189915,120.1952371
183,20210801,202101,11,臺南市,111321,臺南市興國高中,34,45,0,0,2,9,20,441,376,159,128,23.3128662,120.3223801
184,20210801,202101,11,臺南市,111322,私立明達高中,18,8,3,3,2,6,8,147,124,45,44,23.31057310000001,120.27468190000002
185,20210801,202101,11,臺南市,111323,私立黎明高中,42,36,11,8,3,9,21,506,394,148,140,23.1733109,120.24718090000002
186,20210801,202101,11,臺南市,111326,私立新榮高中,9,7,0,0,6,3,13,106,48,58,27,23.2693288,120.3159048
187,20210801,202101,11,臺南市,114306,市立大灣高中,45,119,10,13,3,11,18,388,287,125,114,23.00666,120.2729047
188,20210801,202101,11,臺南市,114307,市立永仁高中,30,72,0,0,3,10,12,167,221,58,63,23.0036078,120.24029679999998
273,20210801,202101,21,臺南市,210303,國立臺南二中,55,78,3,10,3,19,57,1251,768,428,233,23.0055481,120.212765
274,20210801,202101,21,臺南市,210305,國立臺南一中,90,64,0,0,4,21,60,2042,58,719,18,22.9942111,120.2158889
275,20210801,202101,21,臺南市,210306,國立臺南女中,42,85,9,33,7,17,57,16,1975,3,706,22.9872458,120.2065307
276,20210801,202101,21,臺南市,210309,國立家齊高中,40,86,0,0,7,16,51,388,1301,124,477,22.981624,120.200817
277,20210801,202101,21,臺南市,211301,私立長榮高中,65,63,10,20,25,17,67,1272,839,462,368,22.9894128,120.2229561
278,20210801,202101,21,臺南市,211302,私立長榮女中,6,22,5,14,5,11,18,152,571,55,312,22.9911165,120.2211482
279,20210801,202101,21,臺南市,211304,財團法人聖功女中,28,54,1,9,2,24,18,0,799,0,255,23.014844,120.221297
280,20210801,202101,21,臺南市,211310,臺南市光華高中,16,52,0,0,0,15,35,383,880,107,288,22.988612,120.21739
281,20210801,202101,21,臺南市,211314,私立六信高中,15,11,0,0,2,6,23,300,232,56,85,22.9742224,120.202586
282,20210801,202101,21,臺南市,211315,私立瀛海高中,39,36,0,0,2,10,24,649,399,188,119,23.0350309,120.21135929999998
283,20210801,202101,21,臺南市,211317,私立崑山高中,6,14,17,11,0,2,20,115,118,69,57,23.0110042,120.2263303
284,20210801,202101,21,臺南市,211318,私立德光高中,41,78,7,5,4,26,24,535,568,164,191,22.9798586,120.2214007
285,20210801,202101,21,臺南市,211320,財團法人慈濟高中,31,52,2,4,7,12,18,291,258,86,75,23.999868,121.5741826
286,20210801,202101,21,臺南市,213303,市立南寧高中,30,42,0,0,5,6,12,186,157,63,62,22.935473,120.186614
287,20210801,202101,21,臺南市,213316,市立土城高中,16,32,2,12,1,8,9,108,127,43,45,23.0574603,120.1505744
431,20210801,202101,11,臺南市,110401,國立新化高工,52,49,2,2,12,15,39,954,201,267,71,23.0382113,120.3186639
432,20210801,202101,11,臺南市,110403,國立白河商工,39,31,1,3,7,15,30,305,100,100,36,23.353023,120.41629
433,20210801,202101,11,臺南市,110404,國立北門農工,79,63,0,0,14,18,54,1115,396,317,135,23.17600310000001,120.1808703
434,20210801,202101,11,臺南市,110405,國立曾文家商,22,51,6,2,5,11,30,237,663,59,234,23.179107,120.2458479
435,20210801,202101,11,臺南市,110406,國立新營高工,78,38,6,3,15,16,46,960,250,306,103,23.3132131,120.3172437
436,20210801,202101,11,臺南市,110407,國立玉井工商,40,33,0,0,10,11,27,338,193,121,64,23.1200355,120.4598153
437,20210801,202101,11,臺南市,110409,國立臺南高工,136,77,13,9,25,24,84,2134,314,716,103,23.01453900000001,120.2336054
438,20210801,202101,11,臺南市,110410,國立曾文農工,62,74,3,3,17,19,50,764,295,242,113,23.1871927,120.2631909
439,20210801,202101,11,臺南市,111419,私立陽明工商,18,8,0,0,5,7,24,319,122,110,45,23.1920689,120.3287761
440,20210801,202101,11,臺南市,111427,私立育德工家,12,12,4,0,3,7,23,341,262,118,128,23.3161758,120.3118299
481,20210801,202101,21,臺南市,210408,國立臺南高商,49,101,0,0,3,19,64,586,1307,198,427,22.9812227,120.20239479999998
482,20210801,202101,21,臺南市,210416,國立臺南海事,46,37,11,11,10,10,33,653,255,218,99,22.99361780000001,120.1516513
483,20210801,202101,21,臺南市,211407,私立南英商工,27,40,16,9,8,19,36,660,270,358,132,22.9861239,120.19962350000002
484,20210801,202101,21,臺南市,211412,私立亞洲餐旅,11,15,7,4,1,7,24,418,300,143,132,22.9749246,120.2029425
485,20210801,202101,21,臺南市,211419,私立慈幼工商,31,18,7,4,12,12,32,743,173,275,66,22.9893311,120.2397489
517,20210801,202101,21,臺南市,210C01,國立成功大學附設高工進修學校,20,14,11,4,2,5,24,197,63,48,6,22.9991111,120.2158342
522,20210801,202101,11,臺南市,111G91,私立樹德高中進修學校,0,0,12,1,0,0,3,87,0,28,0,22.643005,120.32803
