Unnamed: 0,匯入時間,統計時間,站點ID,站點名稱,站點地址,車站級別,lat,lng
110,20211201,202110,4110,後壁,73143臺南市後壁區後壁里後壁 77 號,4,23.36626,120.36058
111,20211201,202110,4120,新營,73045臺南市新營區中營里中山路 1 號,1,23.30658,120.32344
112,20211201,202110,4130,柳營,73657臺南市柳營區東昇里建國路 1 號,4,23.27762,120.32252
113,20211201,202110,4140,林鳳營,73444臺南市六甲區中社里林鳳營 16 號,4,23.24259,120.32107
114,20211201,202110,4150,隆田,72041臺南市官田區隆田里中山路一段 1 號,2,23.19271,120.31917
115,20211201,202110,4160,拔林,72044臺南市官田區拔林里拔子林 83 之 1 號,5,23.17287,120.32117
116,20211201,202110,4170,善化,74154臺南市善化區光文里中山路 1 號,2,23.13333,120.30653
117,20211201,202110,4180,南科,74443臺南市新市區大營里大營 287-300 號,4,23.10714,120.30175
118,20211201,202110,4190,新市,74448臺南市新市區新和里中華路 1 號,3,23.06816,120.29004
119,20211201,202110,4200,永康,71090臺南市永康區埔園里中山路 459 號,2,23.03873,120.25374
120,20211201,202110,4210,大橋,71049臺南市永康區西橋里中華路 835 號,4,23.01951,120.22449
121,20211201,202110,4220,臺南,70146臺南市東區成大里北門路二段 4 號,1,22.99719,120.21231
122,20211201,202110,4250,保安,71755臺南市仁德區保安里文賢路一段 529 巷 10 號,3,22.93289,120.23143
123,20211201,202110,4260,仁德,71750臺南市仁德區保安里永德路 10 號,4,22.92364,120.24061
124,20211201,202110,4270,中洲,71754臺南市仁德區中洲五街236號,2,22.90466,120.25286
125,20211201,202110,4271,長榮大學,71150臺南市歸仁區大潭里長大路15 號,4,22.90735,120.27273999999998
126,20211201,202110,4272,沙崙,71151臺南市歸仁區沙崙里歸仁大道 102 號,4,22.92419,120.28635
